player_age,player_height,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,Crosses,LongB,ThrB,player_positions,strengths,weaknesses,player_style,BootsName
26,188,9,282,1,0,1,0,0.1,83.6,0.6,0,6.58,0.3,0.8,0.4,0.3,1.9,0.0,0.4,0,0.4,0.5,0.0,0.1,0.4,25.6,0.1,0.4,0.1,['Defender'],"['Holding on to the ball', 'Passing', 'Key passes', 'Concentration']","['Aerial Duels', 'Tackling']",['Does not dive into tackles'],Tiempo Legend 9
25,186,26,1686,0,2,2,0,0.3,91.2,1.0,0,6.68,1.7,0.7,0.3,0.3,1.8,1.1,0.3,0,0.9,0.4,0.0,0.4,0.8,51.3,0.3,2.3,0.0,"['Defender', 'Midfielder']","['Passing', 'Key passes', 'Dribbling', 'Holding on to the ball', 'Tackling']",['Crossing'],['Likes to tackle'],X Speedportal.1
27,180,57,3336,4,3,15,0,0.6,88.2,0.6,0,6.66,1.6,0.4,1.3,0.1,0.7,1.0,0.0,0,0.8,0.4,0.1,0.7,1.3,39.5,0.2,0.6,0.0,"['Defender', 'Midfielder']","['Passing', 'Holding on to the ball', 'Dribbling', 'Tackling']","['Crossing', 'Discipline']","['Likes to play short passes', 'Likes to do layoffs', 'Likes to tackle', 'Commits fouls often']",Phantom GX
39,193,41,3284,0,0,0,1,0.0,83.9,0.2,0,6.48,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0,0.0,0.1,0.0,0.0,0.0,35.3,0.0,6.6,0.1,['Goalkeeper'],['Long passing'],['Catching crosses'],[],Copa Sense.1
35,185,48,1643,6,6,4,0,1.0,77.2,0.6,0,6.52,0.4,0.1,0.5,0.0,0.4,0.4,0.0,0,1.1,0.3,0.1,0.6,0.8,17.2,0.5,0.4,0.1,"['Midfielder', 'Forward']","['Key passes', 'Holding on to the ball', 'Through balls', 'Crossing']","['Finishing', 'Discipline']","['Likes to do layoffs', 'Likes to play short passes']",X Speedportal.1
24,178,17,697,0,2,1,0,0.3,93.8,0.4,0,6.5,1.4,0.1,0.5,0.0,0.8,0.3,0.0,0,0.3,0.6,0.0,0.5,0.8,32.3,0.2,0.4,0.0,['Defender'],"['Passing', 'Aerial Duels', 'Concentration']",[],"['Likes to play short passes', 'Commits fouls often']",X Speedportal.1
20,183,32,1428,3,2,3,0,1.6,82.4,0.3,0,6.42,0.6,0.1,0.7,0.0,0.3,0.3,0.0,0,0.7,0.8,0.1,0.8,1.2,15.0,0.4,0.7,0.1,"['Attacking Midfielder', 'Forward']",['Crossing'],[],"['Likes to dribble', 'Indirect set-piece threat']",Zoom Mercurial Superfly 9
19,176,5,10,0,0,1,0,0.7,58.3,0.0,0,5.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.3,0.0,2.3,0.0,0.0,0.0,['Attacking Midfielder'],"['Key passes', 'Passing', 'Taking set-pieces']","['Aerial Duels', 'Crossing', 'Holding on to the ball', 'Defensive contribution']","['Likes to cut inside', 'Likes to shoot from distance', 'Does not dive into tackles']",Zoom Mercurial Vapor 15
22,176,59,3807,22,16,11,0,2.5,84.4,0.3,11,7.5,1.0,0.4,0.8,0.0,0.2,0.5,0.1,0,2.0,1.0,0.3,1.5,1.8,48.6,0.3,0.9,0.4,"['Attacking Midfielder', 'Forward']","['Key passes', 'Dribbling', 'Passing', 'Through balls', 'Long shots']",['Defensive contribution'],"['Likes to do layoffs', 'Likes to play short passes', 'Likes to dribble', 'Does not dive into tackles']",X Speedportal+
29,191,54,2454,32,0,7,0,2.2,78.5,1.6,7,6.87,0.3,0.2,0.7,0.0,0.6,0.2,0.0,0,0.4,0.6,0.3,0.8,1.3,11.5,0.0,0.0,0.0,"['Attacking Midfielder', 'Forward']","['Finishing', 'Headed attempts']",['Defensive contribution'],"['Likes to play short passes', 'Likes to do layoffs', 'Indirect set-piece threat', 'Does not dive into tackles']",Mercurial Vapor 14
32,186,62,4609,2,7,12,1,0.8,90.9,1.0,0,6.8,1.5,0.5,1.2,0.1,1.4,0.6,0.3,1,1.3,0.9,0.0,0.4,0.7,80.4,0.2,4.0,0.2,"['Defender', 'Midfielder']","['Passing', 'Long shots', 'Through balls']","['Concentration', 'Tackling']","['Likes to do layoffs', 'Likes to shoot from distance', 'Does not dive into tackles']",Future Ultimate
23,184,61,3835,4,2,11,2,0.6,87.8,2.1,2,6.9,1.9,1.0,1.0,0.3,2.9,0.5,0.6,1,0.5,1.2,0.0,0.2,0.6,58.3,0.3,2.1,0.0,"['Defender', 'Midfielder']","['Passing', 'Key passes']",[],['Likes to play short passes'],X Speedportal.1
29,195,58,4371,4,0,7,0,0.6,93.6,2.1,0,6.75,0.6,1.1,0.7,0.4,4.2,0.2,0.5,0,0.2,0.2,0.0,0.3,0.4,70.0,0.1,2.4,0.1,['Defender'],"['Aerial Duels', 'Passing', 'Concentration']",['Tackling'],"['Likes to play short passes', 'Does not dive into tackles']",Copa Pure.1
26,176,47,1915,1,6,3,0,0.6,90.4,0.1,2,6.7,1.4,0.8,0.6,0.0,0.5,0.5,0.1,0,1.0,1.1,0.0,0.7,0.8,46.3,0.1,0.9,0.3,['Midfielder'],"['Passing', 'Through balls', 'Key passes', 'Dribbling', 'Tackling', 'Concentration']",[],"['Gets fouled often', 'Likes to play short passes', 'Likes to do layoffs', 'Likes to tackle']",X Speedportal.1
24,171,55,3420,6,9,7,0,1.0,84.0,0.4,2,6.65,0.8,0.3,0.7,0.0,0.7,0.5,0.0,0,1.1,1.0,0.3,1.0,1.4,22.3,0.7,0.4,0.0,"['Defender', 'Midfielder']","['Finishing', 'Key passes', 'Dribbling']","['Holding on to the ball', 'Passing', 'Tackling']","['Likes to dribble', 'Likes to play short passes', 'Gets fouled often', 'Likes to cross', 'Does not dive into tackles']",Ultra Ultimate
29,184,20,952,1,0,1,1,0.6,88.1,1.4,0,6.44,0.6,1.1,0.9,0.3,2.4,0.3,0.3,0,0.1,0.3,0.0,0.3,0.3,42.9,0.1,1.8,0.0,['Defender'],['Passing'],['Concentration'],"['Likes to dribble', 'Plays the ball off the ground often', 'Likes to tackle']",Copa Pure.1
27,173,42,1829,5,4,6,0,0.6,91.7,0.1,1,6.58,0.5,0.4,0.4,0.0,0.8,0.2,0.1,0,0.9,0.3,0.0,0.2,0.3,40.3,0.9,2.7,0.1,['Midfielder'],"['Passing', 'Taking set-pieces', 'Key passes', 'Long shots']","['Aerial Duels', 'Tackling']","['Likes to shoot from distance', 'Likes to play long balls', 'Plays the ball off the ground often', 'Does not dive into tackles']",F50 Adizero IV Leather
30,187,45,2215,2,2,13,0,0.8,89.3,0.8,2,6.63,1.2,1.0,1.4,0.2,1.1,0.3,0.3,0,0.5,0.6,0.0,0.2,0.3,36.7,0.0,1.3,0.0,"['Defender', 'Midfielder']","['Passing', 'Through balls', 'Long shots']","['Tackling', 'Discipline']","['Likes to do layoffs', 'Likes to play short passes', 'Indirect set-piece threat']",Ultra Ultimate
27,187,24,1258,2,1,5,1,0.6,82.9,1.5,1,6.67,1.4,1.2,0.4,0.3,2.1,0.3,0.1,1,0.6,0.8,0.1,0.2,0.8,40.2,0.3,0.7,0.0,"['Defender', 'Midfielder']","['Aerial Duels', 'Dribbling', 'Passing', 'Ball interception']","['Concentration', 'Holding on to the ball', 'Discipline']","['Likes to play short passes', 'Commits fouls often']",Zoom Mercurial Vapor 15
26,194,45,3181,0,0,8,0,0.7,87.6,1.9,0,6.6,1.2,0.8,1.1,0.3,2.9,0.6,0.4,1,0.2,0.2,0.0,0.1,0.5,65.5,0.1,3.2,0.0,['Defender'],['Passing'],[],['Commits fouls often'],Ultra Ultimate
25,173,40,1693,4,4,3,0,1.2,82.4,0.4,0,6.52,0.6,0.2,0.9,0.0,0.3,0.3,0.1,0,0.7,1.0,0.3,0.5,1.5,11.3,0.1,0.1,0.1,"['Midfielder', 'Forward']","['Through balls', 'Dribbling', 'Long shots', 'Blocking the ball']","['Finishing', 'Passing', 'Offside awareness', 'Defensive contribution', 'Tackling']","['Likes to dribble', 'Gets fouled often', 'Counter attack threat', 'Likes to play short passes', 'Does not dive into tackles']",X Speedportal.1
25,174,31,968,2,0,3,0,0.9,80.9,1.2,0,6.46,0.7,0.0,0.8,0.0,0.2,0.5,0.0,0,0.6,0.5,0.4,0.4,1.0,15.9,0.2,0.1,0.0,"['Attacking Midfielder', 'Forward']","['Defensive contribution', 'Through balls', 'Key passes', 'Aerial Duels']",['Discipline'],"['Gets fouled often', 'Likes to play short passes', 'Likes to do layoffs', 'Likes to tackle']",Zoom Mercurial Vapor 15
28,172,33,634,3,0,2,0,0.5,80.7,0.2,2,6.26,0.5,0.1,0.5,0.0,0.1,0.4,0.0,0,0.3,0.6,0.0,0.7,0.6,10.7,0.0,0.3,0.0,"['Midfielder', 'Forward']","['Headed attempts', 'Through balls', 'Key passes', 'Defensive contribution']",[],"['Likes to do layoffs', 'Gets fouled often', 'Likes to tackle']",X Speedportal+
28,184,20,688,2,2,1,1,0.8,81.1,0.6,0,6.42,0.3,0.1,0.1,0.0,0.1,0.3,0.0,0,0.5,0.5,0.1,0.3,0.6,11.2,0.2,0.2,0.0,"['Attacking Midfielder', 'Forward']","['Aerial Duels', 'Finishing', 'Holding on to the ball']","['Offside awareness', 'Defensive contribution']","['Likes to do layoffs', 'Indirect set-piece threat', 'Does not dive into tackles']",X Speedportal.1
32,176,16,482,3,2,1,0,0.7,88.9,0.0,0,6.32,0.1,0.0,0.1,0.0,0.2,0.3,0.0,0,0.5,0.6,0.0,0.3,0.4,16.3,0.0,0.7,0.1,"['Defender', 'Midfielder', 'Forward']","['Key passes', 'Taking set-pieces', 'Crossing', 'Passing', 'Through balls', 'Finishing', 'Holding on to the ball']",['Aerial Duels'],"['Likes to do layoffs', 'Likes to cross', 'Does not dive into tackles']",Future Ultimate
26,183,50,2969,27,11,3,0,3.6,81.7,0.4,10,7.59,0.7,0.3,0.7,0.0,0.2,0.4,0.1,0,1.6,2.2,0.4,1.7,3.3,18.7,1.1,0.3,0.1,"['Attacking Midfielder', 'Forward']","['Finishing', 'Long shots', 'Direct free-kicks', 'Crossing', 'Key passes', 'Dribbling', 'Taking set-pieces']",['Aerial Duels'],"['Likes to dribble', 'Counter attack threat', 'Gets fouled often', 'Likes to cut inside', 'Likes to shoot from distance']",Mercurial Vapor XIII
22,190,47,3395,22,11,3,0,3.2,76.3,1.7,7,7.27,0.5,0.3,1.2,0.1,0.6,0.3,0.0,0,1.3,0.4,0.4,1.0,2.9,18.5,0.2,0.4,0.1,['Forward'],"['Dribbling', 'Key passes', 'Passing']",[],"['Likes to dribble', 'Indirect set-piece threat', 'Counter attack threat', 'Likes to do layoffs']",X Speedportal+
27,187,45,3576,7,4,7,0,0.8,80.2,1.5,2,6.99,2.2,0.8,0.8,0.1,2.9,0.9,0.4,0,0.6,0.3,0.0,0.4,1.1,45.7,0.4,1.4,0.0,"['Defender', 'Midfielder']","['Aerial Duels', 'Concentration']",['Holding on to the ball'],"['Likes to tackle', 'Clears the ball out of defence often']",Copa Pure.1
28,192,46,3617,3,2,5,0,0.4,91.0,3.3,0,6.91,0.9,0.8,0.9,0.9,6.0,0.3,0.7,0,0.2,0.4,0.0,0.1,0.4,60.4,0.0,2.6,0.0,"['Defender', 'Defensive Midfielder']","['Aerial Duels', 'Passing']",['Tackling'],"['Likes to play short passes', 'Clears the ball out of defence often', 'Does not dive into tackles']",Phantom GX
24,185,51,4266,0,0,4,2,1.0,85.6,1.9,2,6.79,1.3,1.2,0.4,0.4,4.9,0.7,0.6,0,0.4,0.7,0.0,0.3,0.6,57.2,0.1,3.0,0.1,['Defender'],"['Holding on to the ball', 'Blocking the ball', 'Concentration']","['Crossing', 'Tackling']",['Does not dive into tackles'],Future Ultimate
25,185,43,3205,2,1,8,0,0.4,88.4,1.6,1,6.83,1.7,1.5,1.0,0.4,4.2,0.4,0.7,1,0.1,0.3,0.0,0.2,0.8,52.4,0.0,2.3,0.0,"['Defender', 'Defensive Midfielder']",['Ball interception'],['Aerial Duels'],[],Ultra Ultimate
23,180,43,2202,6,7,4,0,1.0,69.6,0.6,2,6.68,1.3,0.4,0.8,0.0,0.7,0.6,0.1,0,0.9,0.7,0.4,0.6,1.6,16.8,0.2,0.3,0.1,['Midfielder'],"['Ball interception', 'Defensive contribution']","['Holding on to the ball', 'Passing']","['Likes to dribble', 'Likes to play short passes', 'Commits fouls often']",Zoom Mercurial Superfly 9
34,189,35,2926,0,0,2,0,0.0,70.4,0.2,0,6.62,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,31.2,0.0,4.4,0.0,['Goalkeeper'],"['Penalty saving', 'Concentration']","['Long passing', 'Catching crosses']",[],Predator Accuracy.1 Low
32,176,34,2104,5,3,1,0,0.3,82.2,0.3,0,6.71,1.5,0.5,0.5,0.0,0.3,0.8,0.0,0,1.3,0.7,0.1,1.1,1.1,33.9,0.2,0.8,0.1,"['Midfielder', 'Forward']","['Holding on to the ball', 'Passing', 'Long shots', 'Defensive contribution', 'Concentration']","['Aerial Duels', 'Crossing']","['Plays the ball off the ground often', 'Likes to do layoffs', 'Likes to tackle']",Phantom GX
30,185,48,2939,2,2,8,0,0.4,89.4,0.6,1,6.61,1.4,1.0,0.7,0.1,1.2,0.8,0.2,0,0.8,0.6,0.0,0.2,0.7,43.9,0.0,1.5,0.1,['Defensive Midfielder'],[],['Tackling'],[],Copa Pure.1
29,178,18,861,1,1,3,0,0.8,86.0,0.2,0,6.53,1.1,0.6,0.9,0.0,1.1,0.4,0.2,0,0.8,0.4,0.0,0.6,0.6,29.8,0.1,0.7,0.1,['Midfielder'],"['Key passes', 'Passing', 'Through balls', 'Dribbling']","['Discipline', 'Aerial Duels']",['Likes to shoot from distance'],King Ultimate
24,183,12,477,2,1,1,0,1.5,71.5,1.5,0,6.57,0.5,0.7,1.2,0.0,0.7,0.5,0.1,0,0.4,0.5,0.2,0.7,1.1,16.0,0.1,0.3,0.0,['Midfielder'],"['Defensive contribution', 'Aerial Duels', 'Dribbling', 'Concentration']","['Crossing', 'Holding on to the ball', 'Tackling']","['Likes to dribble', 'Likes to play short passes', 'Likes to cut inside', 'Commits fouls often']",X Speedportal+
24,184,22,808,0,0,3,0,0.5,76.0,0.5,0,6.49,1.6,0.7,0.8,0.1,1.7,0.5,0.3,0,0.7,0.3,0.0,0.3,0.7,19.4,0.4,0.7,0.1,"['Defender', 'Midfielder']","['Dribbling', 'Tackling', 'Ball interception']","['Discipline', 'Crossing']","['Likes to dribble', 'Likes to tackle', 'Commits fouls often']",X Speedportal.1
31,185,42,930,10,2,4,0,0.8,78.1,0.3,1,6.3,0.2,0.1,0.4,0.0,0.1,0.1,0.0,0,0.5,0.1,0.4,0.4,0.8,7.6,0.0,0.3,0.0,['Forward'],"['Finishing', 'Dribbling', 'Headed attempts']","['Offside awareness', 'Discipline', 'Defensive contribution']","['Indirect set-piece threat', 'Likes to dribble', 'Likes to play long balls', 'Does not dive into tackles']",X Speedportal+
35,187,3,22,0,0,0,0,0.0,73.9,1.7,0,6.25,0.0,1.0,0.0,0.0,0.7,0.0,0.0,0,0.0,0.7,0.0,0.0,0.3,7.7,0.0,0.3,0.0,"['Defender', 'Midfielder']","['Aerial Duels', 'Finishing', 'Concentration', 'Ball interception']","['Crossing', 'Passing', 'Discipline', 'Tackling']",['Does not dive into tackles'],X Speedflow.1
22,194,29,885,3,1,1,0,1.5,75.5,1.1,0,6.36,0.3,0.0,0.5,0.0,0.4,0.1,0.0,0,0.2,0.8,0.1,0.8,1.3,7.2,0.0,0.1,0.0,['Forward'],"['Aerial Duels', 'Dribbling', 'Finishing']",[],"['Counter attack threat', 'Likes to do layoffs', 'Likes to do flick ons', 'Gets fouled often', 'Likes to play short passes', 'Commits fouls often']",Predator Accuracy+
22,184,24,793,3,1,2,0,1.1,67.6,0.3,0,6.24,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0,0.3,0.5,0.6,0.7,0.9,6.1,0.0,0.1,0.0,"['Attacking Midfielder', 'Forward']","['Finishing', 'Headed attempts']","['Offside awareness', 'Holding on to the ball', 'Passing', 'Aerial Duels', 'Defensive contribution', 'Discipline']","['Likes to play short passes', 'Does not dive into tackles']",X Speedportal+
29,187,51,3684,34,6,7,0,3.0,76.1,3.3,9,7.35,0.2,0.1,0.6,0.1,1.0,0.2,0.1,0,0.8,1.6,0.5,1.0,2.3,20.0,0.0,0.3,0.1,"['Attacking Midfielder', 'Forward']","['Passing', 'Through balls', 'Finishing', 'Long shots', 'Headed attempts', 'Aerial Duels']",['Defensive contribution'],"['Likes to do layoffs', 'Gets fouled often', 'Does not dive into tackles']",X Speedportal+
28,189,43,2624,2,2,6,0,0.5,89.5,1.4,2,6.77,1.2,1.0,0.7,0.3,3.4,0.2,0.5,1,0.2,0.6,0.0,0.2,0.6,55.9,0.2,2.1,0.0,"['Defender', 'Defensive Midfielder']","['Passing', 'Aerial Duels']",['Tackling'],"['Likes to play short passes', 'Likes to dribble', 'Clears the ball out of defence often', 'Does not dive into tackles']",Ultra Ultimate
23,180,37,2168,12,7,7,0,1.9,77.0,0.5,3,6.97,1.0,0.4,1.2,0.0,0.2,0.4,0.0,0,1.0,0.7,0.1,1.1,1.5,15.4,0.2,0.4,0.1,"['Attacking Midfielder', 'Forward']",['Finishing'],"['Crossing', 'Defensive contribution', 'Discipline']","['Likes to dribble', 'Likes to cut inside', 'Likes to play short passes', 'Counter attack threat', 'Does not dive into tackles', 'Commits fouls often']",Phantom GX DF
25,191,42,3319,0,6,7,2,0.7,89.7,1.8,2,6.89,1.8,0.9,0.7,0.7,3.1,0.7,0.6,0,0.7,0.9,0.0,0.5,0.6,81.6,0.2,5.9,0.1,['Defender'],"['Passing', 'Tackling']",[],['Likes to tackle'],X Speedportal.1
30,187,47,2768,3,7,12,0,0.7,86.9,1.2,3,6.83,1.7,1.1,1.0,0.2,2.5,0.6,0.3,1,0.6,0.7,0.0,0.2,0.5,40.4,0.3,1.3,0.0,"['Defender', 'Defensive Midfielder', 'Midfielder']","['Holding on to the ball', 'Blocking the ball', 'Dribbling', 'Passing', 'Aerial Duels', 'Ball interception', 'Tackling', 'Concentration']","['Crossing', 'Discipline']","['Indirect set-piece threat', 'Likes to tackle', 'Clears the ball out of defence often', 'Commits fouls often']",Zoom Mercurial Vapor 15
29,185,45,3263,6,15,1,0,1.3,82.8,0.4,1,6.76,0.9,0.5,0.4,0.0,0.3,1.0,0.1,0,1.8,0.2,0.2,1.0,1.5,36.2,0.4,1.2,0.3,"['Midfielder', 'Forward']","['Key passes', 'Crossing', 'Through balls', 'Long shots']","['Aerial Duels', 'Defensive contribution', 'Tackling', 'Concentration']","['Likes to do layoffs', 'Likes to cross', 'Does not dive into tackles']",Zoom Mercurial Vapor 15
27,183,51,3915,3,5,6,1,0.6,89.1,0.4,1,6.94,1.9,0.6,1.0,0.3,1.2,0.9,0.1,0,1.5,0.8,0.0,0.9,1.3,40.1,1.4,1.0,0.0,"['Defender', 'Midfielder']","['Passing', 'Dribbling', 'Concentration']","['Aerial Duels', 'Discipline']","['Likes to play short passes', 'Likes to dribble', 'Commits fouls often']",Ultra Ultimate
33,181,50,3419,2,12,8,1,0.8,86.4,0.7,0,6.79,1.5,0.5,0.8,0.0,0.9,1.1,0.4,0,1.8,0.3,0.1,0.5,0.7,55.9,1.5,2.8,0.0,"['Defender', 'Midfielder', 'Forward']","['Key passes', 'Passing', 'Crossing', 'Taking set-pieces', 'Holding on to the ball', 'Defensive contribution', 'Concentration']","['Finishing', 'Tackling']","['Likes to cross', 'Likes to do layoffs']",Predator Accuracy.1 Low
24,190,38,2252,6,2,6,0,0.7,89.0,1.0,3,6.84,1.6,0.9,0.9,0.1,1.0,0.5,0.2,0,0.6,1.2,0.0,0.7,0.7,35.3,0.0,2.0,0.0,['Midfielder'],"['Dribbling', 'Aerial Duels', 'Blocking the ball', 'Ball interception', 'Tackling']",[],"['Likes to do layoffs', 'Gets fouled often']",Zoom Mercurial Vapor 15
22,183,46,2293,9,5,4,0,1.3,74.8,0.6,2,6.61,0.9,0.3,0.7,0.0,0.3,0.6,0.0,0,0.7,0.5,0.3,0.9,1.3,12.4,0.1,0.0,0.0,"['Attacking Midfielder', 'Forward']","['Finishing', 'Long shots']",[],"['Likes to play short passes', 'Counter attack threat', 'Likes to dribble', 'Likes to cut inside']",X Speedportal+
31,186,49,3169,7,1,5,1,0.3,90.7,1.2,0,6.7,1.8,0.8,0.9,0.4,2.5,0.5,0.5,0,0.2,0.7,0.0,0.3,0.5,55.2,0.0,2.6,0.0,"['Defender', 'Defensive Midfielder']","['Passing', 'Tackling', 'Concentration']",[],['Likes to tackle'],Zoom Mercurial Superfly 9
27,195,51,4500,0,0,1,0,0.0,78.4,0.2,1,6.57,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.1,0.0,0.0,0.0,33.5,0.0,4.5,0.0,['Goalkeeper'],['Concentration'],['Long passing'],[],Ultra Ultimate
21,187,19,336,1,0,1,0,0.7,81.8,0.4,0,6.49,0.7,0.3,0.4,0.0,0.1,0.0,0.0,0,0.8,0.4,0.1,0.5,1.2,12.2,0.0,0.1,0.3,['Attacking Midfielder'],[],[],[],Zoom Mercurial Vapor 15
31,178,48,3272,4,2,6,0,1.5,85.7,0.7,1,6.65,1.1,0.6,0.5,0.0,1.2,0.5,0.2,0,0.8,0.5,0.1,0.7,1.1,33.3,0.4,1.0,0.0,"['Midfielder', 'Forward']","['Long shots', 'Holding on to the ball', 'Blocking the ball']","['Finishing', 'Crossing']",['Counter attack threat'],Zoom Mercurial Superfly 9
29,195,20,1341,0,0,1,0,0.5,93.4,0.7,0,6.42,0.9,0.3,0.3,0.5,2.8,0.3,0.5,0,0.2,0.1,0.0,0.0,0.3,57.4,0.0,2.2,0.0,['Defender'],"['Passing', 'Concentration']",['Tackling'],"['Indirect set-piece threat', 'Does not dive into tackles']",Tiempo Legend 9
